id,protein,gene_symbols
548,I2GUK7;A0A3S6RG40;E3Q1I7;E9LMN8;E9RJS6;A0A0B7NNQ2;A0A0B7NX62;G9I1P6;G9MD19;R9RH39;R9RH45;A0A1W7INV8;R9RH57;A0A3S6RG33;A0A1S6GP34;I2GUK3;A0A1W1TAX6;H2B3H3;A0A0S4T4A3;A0A238DA82;A0A090KKK1;R4RWU8;Q8SNB1;A0A2K4XGR1;A0A2K4XGM0;A0A218NI38;E3Q1I5;G0WJF1;A0A2K4X4I8;E1XUP6;U3MLI1;V6CI97;W0NQ25;W1ICE9;W8FKE1;W8YSA8;X5JZ45;A0A2Z5XAE1;F2XI57;S5DN70;S5DLG2;E0WN45;F6KVT8;E0WN44;C7EW73;C7C619;E3Q0Y3;A7LH95;A6YQG8;A0A3G8GGF8;A0A2U8KGL9;S5DU09;B5MA82;E1Y7F7;A0A2K4X4I6;A0A2K4X4N9;S5DU05;A0A1C3PHQ2;A0A1W1RP85;A0A1W1B5P2;A0A1C3PHW3;A0A1W1B5J9;A0A2K4N7V7;A0A060VD27;A0A060VHI0;A0A060VHI5;A0A0S4T1B9;A0A0S4T197;A0A0S4T1S9;A0A2K4XGI6;A0A1W1RN42;A0A2K4N8C7;A0A2K4XGJ7;A0A2H4UK11;A0A1W1B5F7;A0A2K4XGP1;A0A2H4RN79;A0A2H4RN74;A0A291NGN7;A0A286MC79;A0A1C3PHQ8;A0A286MC73;A0A223PY93;A0A1D0C403;A0A1C3PI75;A0A2K4X4F4;A0A1G4NQV7;A0A2K4X4I4;A0A2K4XGG4;I7HBP7;A0A1C3PHS6;I1V5E9;A0A1W1RN13;I7JB69;M9ZV78;A0A1W1B5R4;Q8MHM5;A0A2K4X4H0;A0A1D3KYN4;A0A223PY87;A0A1C3PHY4;A0A1C3PHY2;A0A1J0MMB0;A0A1C3PHZ0;A0A2K4XGL0;A0A1C3PHS8;A0A1D8MAL8;A0A1C3PI47;A0A1C3PHS4;A0A2K4XGP6;S5FMM0;S5DN76;A0A2K4X4F7;B9WPN5;F6IQK0;F6IQK1;F6IQJ8;F6IQJ7;F6IQK3;F6IQK4;F6IQK5;F6IQK7;F6IQK8;F6IQK9;F6IQJ9;V5NQW1;F6IQK6;V5NQV6;V5NQT2;A0A2R8BPX5;V6DZ76;S5DI32;A0A2K4X4G7;A0A386RVZ5;S6AP29;B4E316;A0A090KFT5;A0A1G4P1H9;F6IQL0;F6IQL2;A0A1V0EFG8;F6IQL6;A0A090KF60;I6R1M9;G1C120;H2B3F1;F6IQL8;F6IQL4;V5NQD6;V5NQQ5;A8YQF3;E3Q1I0;F6IQL5;F6IQL7;F6IQK2;A0A140G0A5;V5NQD2;X5MI27;F6IQL3;A0A2U9AEN6;V5NSW9;V5NQY7;V5NQX7;A0A060VCU7;A0A060VCV6;V5NQ93;A0A3S6RGA6;B3WFP3;I7GYF8;A0A1U5VZM2;C1K9J2;A0A0B7NY95;A0A1W1W528;A0A0B7NXX8;C7EDP3;A0A0N9M6N1;S5DLF7;A0A0K2YV52;A0A0P1H7A9;S5DI31;E0WMP9;A0A1C3L6I0;A0A0C7U0X1;A0A167RMV4;S5DHQ4;A0A167RMQ4;A0A143Y6V1;C0KTQ6;C0KTQ5;D9UAZ7;S5DHQ8;S5DN66;R9RIA4;S5DLF2;D9UAZ3;A0A0D6K9L4;A0A0F7R524;A0A2K9VPV9;B0JF23;A8YQF2;A7WPJ2;A6Q0R3;F5A4J5;A6H581;Q31612;A6H578;P10321;W1I435;A0A0K2A215;A0A1V0EFI7;Q95HC2;Q95604;A0A160YIT6;B5BLP2;D0AB34;A0A1L1Z430;E9NPN4;G1FTT7;D9UAZ8;A0A3S6RGF5;Q5C9P9;B4DVY0;A0A2K4XGL6;F2XI56;A0A223PY92;F1CZ00;Q27W00;Q001S2;O19617;I2G9F8;A0A060VD03;A0A3G4R8Q2;C1K0X8;A0A2R4KPB1;A0A2R4KPE3;A0A2R4SAB0;A0A2S0SYR6;V5NQV1;S6B6S2;C1K0X7;C1K0Y0;A0A2X0RQB7;D3K0R2;D6CJC1;A0A383S3X9;A0A3G7QD59;A0A3G6IN32;A0A2X0REE2;A0A2X0RD06;A0A2U9K714;A0A2U8RNM0;A0A2U8RNL4;A0A3G2I732;A0A2S0SYU6;A0A383S1S8;Q3KT81;A0A3S6RG61;A0A090MEY3;Q6R739;A0A4P2SRL9;A0A4P2SSP5;A0A4P2SSY5;A0A0U5Q0D1;A0A4P2ST24;A0A3S6RIM9;A0A3S6RG45;A0A3S6RIH9;A0A3S6RG22;A0A3S6RFU0;A0A3S6RFX5;A0A3S6RG02;A0A3S6RG11;A0A3S6RG16;B2ZSE2;A0A4P2STT3;F5CL10;A0A455JUA9;A0A455JVZ4;A0A455JX13;A0A3S6RG93;A0A4P2ST92;A0A4P2ST97;A0A4P2STP7;Q6IVK0;Q860B0;Q85ZX8;Q7YQB2;Q6R742;A0A2P0W8G2;A0A0B7NXU1;A0A493QP77;A0A383S243;A0A383S3Z0;A0A2X0T4D6;A0A2X0T4I2;A0A383S213;A0A345F0V6;A0A345F6X4;A0A346MPT2;A0A140T9U8;A0A4P2ST72;A0A383S3Z1;A4Q9R6;A0A383S3T2;A0A383S3D8;A0A2K4XGN9;A0A2K4XGS0;A0A090MEW7;A0A140T9H5;A0A2K9UYV4;I2G9F9;A0A2P9G7M6;A0A0B7NNM1;A0A2L2FPA2;C9E8W1;A0A2R4FYN0;A0A2R4KPB5;A0A2R4KPB7;A0A383S1V3;A2AEA2;A0A1W1W540;A0A383S3R5;A0A383S279;A0A090MF27;A0A3G4RIH4;A0A2R4KPA9;A0A2R4KP97;A0A2P9G7W2;A0A2P9G7V9;A0A2P9G7K1;A0A2P0W8G1;A0A2X0RE67;A0A2P0W8F8;A0A2L1DGK9;A0A2L1DGI9;A0A2L1DGI8;A0A2L1DGI6;A0A2L1DGI4;A0A2L1DGH4;A0A2L1DGH2;A0A2K4XGZ2;A0A2K4XGS4;A0A2S1FMS3;A0A2S1B6S1;A0A2S1B6R8;A0A386NI95;A0A140T921;A0A383S3C8;A0A2X0RWT2;A0A383S2I9;A0A383S2H1;A0A383S410;A0A383S2G1;E1Y6P6;A0A4P2SRJ2;A0A2X0T256;A0A090KKI4;A0A0S4T295;A0A3S6RIV7;A0A0U5PXQ9;A0A3S6RIV1;A0A0S4T322;A0A0S4T2L8;A0A0B7NXS4;A0A0B7NRZ4;A0A0B7NRX1;A0A0B7NNI9;A0A0U5IHU5;A0A0S4T4W1;A0A0S4T4R3;A0A0S4T4H1;A0A0S4T4F5;A0A1C3PHP4;A0A0B7NXV1;A0A0K8K5V0;A0A0S4T2G2;A0A4P2SSX9;A0A0S4T3C3;A0A0S4T402;A0A4P2STV6;A0A173AD10;A0A2K4XGQ9;A0A0U5Q1X6;A0A125R6G5;A0A0U5Q0Z5;A0A0U5PZB5;A0A2P9G7P9;A0A0S4T4X7;A0A0S4T3V2;A0A173AD87;A0A4P2SUA9;A0A0S4T351;A0A3S6RIT2;A0A191XZC3;A0A383S204;A0A0S4T3V9;A0A2X0T277;A0A2K4XGQ2;A0A4P2SUF6;A0A0S4T2A5;A0A1C3PHN1;A0A0S4T289;A0A455JX24;A0A1W1RNE8;A0A1C3PHX9;A0A1C3PHW5;A0A0S4T3N9;A0A0S4T485;A0A493QP67;A0A0S4T261;A0A2K4N8H7;A0A0S4T3P9;A0A3S6RG60;A0A0S4T4S3;A0A3G6IRF1;A0A0S4T2Z1;A0A3S6RG42;A0A2K4XGI5;Q64EU5;A0A0S4T489;A0A090KM77;A0A0S4T219;A0A0B7NY93;A0A060VCX7;A0A2K4XGQ5;A0A0S4T203;A0A0S4T1S1;A0A0S4T4D4;A0A0S4T1L3;A0A0S4T1I6;A0A0S4T3I8;A0A0S4T1H1;A0A455JVL9;A0A4P8DJ79;A0A4P8VMX1;A0A4P8DJ78;A0A4P6N0H4;D5H3T1;Q9TQB6;D0V481;A0A4V0NPD9;C5IWX6;A0A455JU27;A0A2I6J4B5;A0A4P2STM0;A0A4P2STQ1;A0A455JU13;Q8WUX3;A0A4P2STY4;A0A3S6RIR3;Q52QV5;S6FW97;A0A4V0NP53;Q4VYE6;D9UB09;D9UB07;G9FXD6;A0A223PY90;A0A3S6RI74;A0A0S4T1G7;A0A3S6RG62;A0A455JVV7;Q9TQ65;Q8HWQ9;W1I6E7;S6AU97;Q8HWQ8;D5H3T4;A0A0S2IIQ9;C5IWY8;Q7YNY0;A0A411AHH5;A0A2I6R6H8;F6IQM1;F6IQL1;A0A493QP75;Q8HX85;F6IQU9;F6IQU8;U5YMG4;B7U5E0;V5NQY2;F6IQM0;A0A455JVC5;Q9GJ24;A0A2Z4HTX1;A0A386RVU2;A0A060VG17;A0A060VG23;A0A060VG36;A0A060VHG8;X5MPH1;X5MNS3;X5MBH5;A0A223PY98;F6IQS3;U5YMG9;F6IQT9;A0A060VD05;A0A090MF36;A0A4P9D212;W8NKY4;W8E988;O78126;A5JUX0;A5A4G3;C5IWX9;A0A2U3QLM8;Q4W6C5;C5IWX5;A0A142J2B3;A0A142J2B4;A0A142J2B6;A0A142J2H3;A0A142J2H4;A0A1V0S7J8;A0A1V0EFF1;A0A1W2PRT9;A0A140T913;B2LT55;A0A4V0NP48;A0A0S2IIV1;A0A0S1Z204;A0A386RUJ7;A0A346FLH9;Q540M3;A0A0S1Z1X8;V5NRE1;Q546F7;O19642;Q546Q4;A0A140T9X5;Q704F3;A0A1W1B5K0;Q3LRR7;A0A0S4XQY9;A0A1Z1VXF1;A0A1G4HQ05;A0A0S4XQQ0;A0A0S4XQU0;A0A0S4XQV1;A0A411G9X3;A0A0S4XQY4;A0A0S4XR00;A0A3G5BD37;A0A3S6RIA4;A0A140T9I0;A0A0U5QLQ5;A0A0S4XR15;A0A3S6RG90;A0A0U5QLP3;A0A0U5Q304;A0A1Z2RTJ0;A0A3G5BD36;A0A286LDA1;A0A3G6II41;A0A4P2SR84;A0A3S6RFJ7;A0A3S6RI42;A0A3S6RI93;A0A411D3E2;A0A3G8GE18;A0A3G6V5V8;A0A2S0SYR3;A0A3G4R8Q6;A0A2S0SYY2;A0A2U3QLG2;A0A2U3QLG5;A0A2U3QLI7;A0A2U3QLJ5;A0A2U3QLJ8;A0A2Z2GXL0;A0A142J256;A0A0U5Q1N1;A0A0S4XR34;A0A191XZC7;A0A0U5Q1N6;A0A1C3PHD2;A0A4P2STB9;A0A1D8MAM8;A0A159AYQ3;A0A1W1RN09;A0A1G4HPV4;A0A1W1B6F7;A0A0U5Q0A7;A0A1S5UX46;A0A1T4J2C1;A0A0S4XRK4;A0A1W1B640;A0A1W1B5S1;A0A1V1IFP3;A0A1W1B5Q4;A0A2K4N817;A0A0S4XRU7;A0A1C3PH81;A0A0S4XRV1;A0A0S4XRB8;A0A0F6TL23;A0A0U5KK83;A0A1W1RN11;A0A060CZ20;A0A2H4WQ02;A0A2K4XGM2;A0A060VHE9;A0A0U5KJ66;A0A0S4XRD5;A0A0S4XRF8;A0A0U2M4K4;A0A0S4XRG5;A0A1S5UYW8;A0A1B1LKE3;A0A1W1B5Y7;A0A4P2SS81;E5FQ45;A0A223FL14;A0A2I6J488;Q9TQ73;A0A2I6J4D2;A0A2H4ZAR8;A0A2H4ZAT0;A0A2H4ZAV0;A0A2I6J4D3;A0A2K4Y3L4;A0A0U5KJ72;A0A2P0W8E8;A0A383S294;A0A2H4WQ03;A0A2H4WPX0;A0A1Z1VXF8;A0A4D6NYZ2;A0A3S6RFC8;A0A2I6J489;A0A2I6J4A5;A0A3S6RF92;Q53Z42;I6YAY1;Q3LRR6;A0A455JU01;Q2LC95;P79603;A0A1W1B5B7;Q5MAG5;Q52YL7;D7GM34;D7GN80;D7GN81;D7GNM8;D5H3T6;I3ZN76;A0A2L1DGK1;E5FQ49;A0A1Z2RTK7;A0A286LD92;A0A1Z2RTN7;A0A3S6RF54;A0A3S6REY6;A0A3S6REZ0;A0A3S6RF32;A0A455JWW7;A0A3S6RF51;A0A286LDA0;A0A4P2SQX9;A0A3S6RF55;A0A1Z2RTP1;A0A4P2SQZ5;A0A2P9FIU9;A0A3S6RF58;A0A3S6RF64;A0A4P2SSF7;A0A3S6RF68;A0A4P2SSC0;A0A2P9FIT0;A0A455JWY2;A0A2P9FIG3;A0A2P9FIF5;A0A1Z2RTQ8;A0A223FKV7;A0A223FKW4;A0A223FKY8;A0A223FL85;A0A223PYC5;A0A1Z2RTK2;A0A2K4N859;A0A286LD94;A0A3S6RF45;A0A4D6NWB3;A0A286LDD2;A0A2H4UK27;A0A2H4WPW3;A0A493QP49;I7LL24;Q7YP23;F6IQS6;Q95HL2;S0F0M8;R9WXA9;W0T236;R9RI97;Q8MHP8;T1RT90;W6SNC0;T2MJ84;Q6L6P9;E2GD50;E3Q1V2;C7EAN4;E9ABX9;Q6L6Q3;Q6L6R5;D9UAX0;U4QB70;L7XEN4;S5NIY1;Q6L6T0;X5CHJ2;U6EV21;A0A0S1TPF2;A0A162NR25;L0N4J2;S0F3H7;A0A1G4NQV4;Q95IZ1;N0GWB7;L7XDT5;Q5W9R8;R9RVK4;M1KQ42;M4NJR5;V5NE49;T1WQ06;V5L197;S5DHR2;S5DI27;N0AAA5;N1NSY8;F6IQS9;N1NT54;V9W2L5;Q6F3H0;Q6L676;L7WQ81;Q8MHP7;T1WGK5;Q75NJ3;Q75WB6;V9VYY9;W0FF27;A0A3T0TUN6;F4NC98;Q8WLS4;I1VXM3;G4XZE8;G8FQ52;G8GBV0;G8GBV1;G9FTK1;H2D5G1;F6IQV0;F5BZ30;K4TZQ2;H9BE43;A0A1L7NQ88;Q29757;Q4JLV8;A0A140T933;H9BNV4;A0A140T955;D5H3V7;A0A345F7A7;A0A2R2WVJ3;A0A0U5L7I7;F0VRV9;D6CIC3;A0A180K1J1;P01892;P10316;G3C9V4;G1UK07;F8WSJ2;I2GUK0;I1VXL9;E9ABI2;F2X5P6;F2XI29;J7JQD3;F4ZZU3;J7RT43;F5ATC5;I2GAD7;I2G8B5;I2GUJ9;I3VB20;F8WS75;I7HAR2;I6QTM5;I6Z8E6;H9BB16;I7ARY8;I7C6A9;I7CT52;I7D6N7;R9WAS6;G0M6G2;F8LSV7;L7XDE9;Q6F3I9;X2J3V4;Q68Y63;C8ZLL1;D1H0T8;D1J6X4;D2KZ27;D2KZ29;D2KZ31;D2KZ35;D2KZ37;D3YFD3;B6ECH5;A0A076V5S4;A7WPI9;A6N9E1;D9IDV1;B5A516;B3V990;A7LKN0;A2V815;A0A076V371;A0A061CVW2;B1Q4R7;A5PHT6;E5BBI6;E3WH34;E3UM70;C6L835;B9W1S7;B7XGC2;A0A4U8YZV3;Q7YNX7;A0A068W643;A0A455WHI8;B1PQ27;Q9GJ61;Q9GJP2;A0A1W2PRU9;A5A8M7;A0A484HM44;A0A0U5HZL8;W1EC24;A0A1W2PPQ2;D2KZ54;D5L6G2;D7GLM1;D2KZ30;D3YLL2;A0A3G8GE33;A0A3G9HRF1;A0A343J4W0;D5H3I6;D3YLL1;A0A3G8GE26;A2BCQ5;B0LV24;B1B6Q4;B1B6Q5;Q0P6N9;M4VSA0;E0WMV2;M4VLP5;M4VMS3;M4VMS8;M1JPA6;Q5R1M0;Q5EPE9;A0A167RN49;E0WMM9;E0WMV7;Q308P3;A0A1M4NF67;Q4LAU0;W8YM39;Q4W6C3;M4VJS4;M4RBI8;M4QNU4;M5AUI8;A0A167RMM9;E0WMY7;Q60I39;W6SQV0;M9R0Q6;U5XMI1;B1B727;A0A0H3W5K9;B1Q4W3;A0A061A7U0;B2DFV9;B3GUH8;A8ILL3;A4UUL3;A5A4L6;A0A0N7G7C7;A0A0G3ENZ2;A0A0G3VSP7;A0A0H3W567;A0A0N9Q8N5;S5DU01;D7GNM3;A0A0A7EBW5;A0A0G3EM61;A0A2Z5ZNJ5;A0A223PK90;A0A1X9PY90;A0A286R104;A0A2D1WBC6;A0A2H5CP65;A0A125RL89;S5DU12;D5H3U0;L7WM55;F6IQT3;A0A386RW46;F6IQU2;U5YJM1;U5YJJ1;A0A125S9I1;U5YJI7;Q861F7;A0A346FLI0;U5YJN8;F6IQS5;H2DDR7;F6IQS8;A0A076JT77;F6IQT1;U5YKE3;F6IQS1;U5YJH8;F6IQT4;A0A1Z2RP38;U5YJN4;U5YJP1;F6IQT6;G9IHU5;U5YKE8;F6IQV4;U5YKE0;U5YMN5;G9G815;U5YMF9;F6IQV3;U5YJI3;A0A2P1CQH6;F6IQS4;F6IQV1;F6IQT2;U5YKC3;A0A1P7ZSS3;U5YJP4;Q861F6;S6A6J7;A0A060VHD9;F6IQT5;F6IQS2;F6IQV5;A5I8L1;F6IQV2;F6IQU3;F6IQS7;F6IQU4;B0BKZ4;F6IQU6;U5YMN1;A0A060VHF3;U5YMH5;F6IQU5;F6IQU7;F6IQT8;F6IQT7;F6IQU1;Q8MHN8;D5H3T3;U5YJG6;F6IQU0,HLA-C;HLA-Cw;HLA-B;HLA-A;MHC class I HLA-A;HLA-A*0226;HLA-A*02;HLA;HLA-A*0201V3
549,A0A075B6T1;B4DZ97;Q9C0C7,AMBRA1
550,E9PQG4;A0A087WVF8;A0A0A0MRM1;A0A087WX83;A0A075B749;Q5VU43,PDE4DIP
551,K7ERP4;A0A087X2I2;A0A087WT12;P36969;Q6PI42;K7EJ20;A0A0A0MTT1;K7EKX7;R4GNE4;K7ENB4,GPX4
552,A0A087WT20;Q9NV06,DCAF13
553,A0A087WT27;A0A494C1Q4;J3KN95;A0A494C1E2;A0A494C0G1;H0Y987;O95394;B3KN28;D6RIS6;A0A494C163;A0A494C099,PGM3
554,A0A087WT45;A8K7Z3;Q4V328;A0A075B793,GRIPAP1
555,A0A087WTV6;A0A0S2Z5U6;Q96C36;B3KMB7;A0A024R3Q9;Q4W8W1;A0A087WZR9;Q8NCZ0,PYCR2;P5CR2;DKFZp434J218
556,A0A087WVR3;A0A087WTW0;Q96T88;A0A087WWG9;B4E0F9,UHRF1
557,A0A087WTW5;A7E2C0;Q9UKL3,CASP8AP2
558,B4DH58;A0A087WU53;Q9H0U3;Q96SP2,MAGT1
559,Q8WYA6;A0A087WUB9,CTNNBL1
560,B4DDB9;A0A087WUC6;E9PI68;Q15005;E9PL01;E9PRB9,SPCS2
561,A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3;H0YJW7;H0YJ07;H0YJU7,SLIRP
562,E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847;A0A2R8Y8A0,RPS24
563,Q8N5A0;A0A087WUT6;O60841;B3KM86;D3DVI5,EIF5B
564,D3DWY2;D3DWY0;A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9,IKBKG
565,Q01082;B2ZZ89;A0A087WUZ3;D6W5C0;K9MS24,SPTBN1
566,A0A087WV97;Q8WU79;X6RCC3,SMAP2
567,A0A087WVI0;E9PBL8;Q8WTW3;B3KUY5;Q4G0L8,COG1
568,A0A087WVM4;B7ZM99;Q6UB35;B2RD24,MTHFD1L
569,A0A087WVQ6;Q00610,CLTC
570,A0A087WVZ9;E5KT65;P19388;B4DJ89;A0A087WWX0;A0A0A0MQR7,POLR2E
571,A0A087WW40;A0A140VJU5;Q9Y371,SH3GLB1
572,B2R6D0;A0A087WW66;Q99460;Q05CW6;Q05BX4,PSMD1
573,A0A499FJY3;A0A087WWP4;Q96T37;A0A494C001,RBM15
574,A0A0C4DGT8;A0A087WWP8;Q5VWQ0;A0A0C4DH79,RSBN1
575,A0A087WWS1;Q96FV9;A0A087WY84,THOC1
576,A0A087WXU5;B4DYA9;A0A0D9SEW3;A0A087WXF8;Q9NP64;A0A087WYF0;A0A087WYV3,ZCCHC17
577,B7Z879;Q53FX3;A0A087WXL6;Q9H270;Q658K0,VPS11;DKFZp564P2364
578,A0A087WXS7;O43681;B4DEE5,ASNA1
579,A8CDT9;A0A087WY00;G3V394;F8WE88;F8W6H6;Q9Y4I1;B4E147;Q59FF5,MYO5A
580,A0A087WY71;E9PFW3;Q96CW1;B4DFM1;B4DNB9;B4DJB1;B4E304;B4DTI4;B7Z4N2;C9JJ47,AP2M1
581,A0A087WYN9;Q7Z478,DHX29
582,Q68E05;Q6FGS1;A0A087WYR3;O43399;Q5J908;A0A087WZ51;B4DDV4;Q53GA0,DKFZp686A1765;TPD52L2
583,Q53QE9;A0A140VKE1;B2RAN1;A0A087WYS1;E7EUC7;B4DUP2;Q16851;C9JNZ1;D6W5E6,UGP2
584,A0A087WZ13;E9PAU2;Q8IY67,RAVER1
585,Q9HBI1;A0A087WZB5,PARVB
586,Q5BKY2;A0A087WZK9;Q6IB98;Q53HR0;Q53HG0;B3KS98;O15372;E5RGU4,EIF3H;EIF3S3
587,A0A087WZX0;Q86UU0,BCL9L
588,A0A087X020;A0A0S2Z5I7;Q9Y3A5,SBDS
589,Q9Y4L1;A0A494C039;A0A384P5T6;B3KXH0;B7Z2N4;A0A087X054;B7Z766;B7Z602;A0A087WWI4;Q6IN67;K7EQK2;Q05D91;E9PJ21,HYOU1
590,A0A087X0K9;G5E9E7;A9CQZ8;G3V1L9;Q07157;Q6MZU1;Q68DX9,TJP1;DKFZp686A1195;DKFZp686M05161
591,A0A087X0M4;Q9BWU0;B4DV74,SLC4A1AP
592,A0A087X0N3;Q96MY1;A0A087WTU5;O94818,NOL4L;NOL4
593,B7ZKN5;A0A087X0R0;Q59HG3;B4E253;O15550;F5H6S1;F4MHK3;E1U0S7;F5H5V6;B7ZKN6;F8W8R6;B4DG81;F4MHJ5;B7ZKN1;F4MHH6;F4MH44;E1U0S6;F4MHC1;A0A096LPD8;F4MH29;F4MH58;F4MH27;F4MHK2;F4MH53;F4MH46;F4MH56;F4MH52;F4MH51;F4MHD9;F4MH35;F5H8B4;F4MHC2;F4MH30;F4MH92;A0A087X2I9;E1NZ87;F4MH98;F4MHE7;E1NZ88;F4MH43;F4MH61;F4MHM3;F4MH73;F4MHS7;F4MHD0;F4MH59;F4MHE5;F4MHH5;F4MHA2;F4MHE1;F4MH45;F4MH70;F4MH75;F4MH66;F4MH36;E1NZ81;F4MHD2;E1U1M6;F4MH54;O14607;F4MHI0;F4MHR8;F4MHN7;F5H3N7;F4MHA9;F4MH48;F4MHC6;F4MH62;F4MHK4;E1U1M7;F4MH47;F4MHP7;F4MH64;F5GWV3;E1U1M9;F4MH60;F4MH63;F4MHA0;A0A087X248;F4MH31;F4MH65;A0A087X0Y2;E1U198,UTX;KDM6A;UTY
594,A0A087X0S5;A0A384P5H7;P12109;Q8TBN2;B4DRR8;D3DSM7,COL6A1
595,Q2TAM5;A0A087X0W8;Q04206;E9PI38;E9PQS6;Q96F54;E9PKV4;Q96CP1;A0A087WVP0;E9PKH5;B4E082,RELA
596,J3KN36;A0A0G2JN29;A0A087X117;Q15155;P69849;Q5JPE7;A0A0G2JP90;A0A087WW46;Q1LZN2,NOMO3;NOMO1;NOMO2
597,B3KV88;A0A087X169;Q5T6S3;B0QZ72;F5H8K3;B7Z887;B7Z8H3,PHF19
598,O95793;A8K622;Q59F99;A0A087X1A5;Q5JW30;B3KRE0,STAU1
599,B4DXH2;B4DUZ3;A0A087X1E4;P53365,ARFIP2
600,A0A0U1RQT1;A0A087X1H5;Q15057,ACAP2
601,Q86SZ7;Q2TNB3;A0A087X1Z3;Q9UL46;H0YM70;Q6FHK9,PSME2
602,A0A087X211;Q8TCG1,KIAA1524
603,Q9NWB1;F8VZY7;F8WSN4;A0A0G2JRA5;A0A087X2B1;B7ZLH9;B0QYY4;X5DP44;B0QYV1;X5DNY3;J3KNW3;Q59HD3;Q8TCM0;F8VR27;S4R469;S4R3K7;A0A0G2JRD1;B7Z1U7;A0A286YEU2;F8VZG9;O43251;X5D7T5;I3L1D4;F8VRS4,RBFOX1;RBFOX2;A2BP1;DKFZp547L059
604,A0A087X2B2;E9PMH5;B2R8N8;Q13490;H0YDY3;Q8IZZ0,BIRC2
605,A0A087X2H1;Q9ULT8;H0YJP0;Q2KQ74,HECTD1
606,V9HW24;A0A087X2I1;P62333;H0YJC0;H0YJS8,HEL-S-73;PSMC6
607,Q546S1;A0A089VKS7;P18146,EGR1;Egr-1
608,A0A090N7U0;Q13616;A0A0C4DGX4;B4DLA3;B3KTW0;Q75MQ1,CUL1
609,A0A090N7V5;O75223;M0QZK8;B3KMN7,C7orf24;GGCT
610,A0A090N7X1;A0A090N7Y2;Q9UG63,ABCF2
611,Q96P47;A0A090N7Y0;Q86XV5;Q6ZNF7;D3DX07;E7ESL9;Q86ST5;H7C4F1;H0Y873;Q8N8Q2;Q96T14;Q9H3X2;C9J975,AGAP3;CENTG3;DKFZp761E2216
612,S4S3R8;A0A090N8E9;Q15910;F2YMM1;Q75MP9;Q75MQ0,EZH2
613,A0A090N8G0;P41250,GARS
614,C9JZE3;C9JYJ8;A0A090N8Z2;A8K9F5;A0A090N8H1;Q9BWE0;E7EVL6,REPIN1
615,A0A090N8Q5;H3BM14;H3BM74;Q9Y5A7;C9JRT6;F8WDB6,NYREN18;NUB1
616,A0A499FI48;A0A090N8Y2;P13667,ERP70;PDIA4
617,A0A090N8Z9;Q6STE5;B3KXL9,SMARCD3
618,A8K2B4;A0A4D6J698;A0A097PID1;A0A097PIC4;A0A0U1RRM6;Q8N8S7;Q6ZSB8;Q6ZT55,ENAH
619,B2RB99;B4DXL5;A0A0A0MQR2;Q9BY42;A2A2L5;A2A2L6,RTFDC1
620,A0A0A8K9A6;A0A0A0MQS0;F8W9L8;A8MW92;A0A024R9G8;E9PM57;A8MUE8;A8MXR8,URLC1;PHF20L1
621,D3DWK4;A0A0A0MQS1;Q53H96,PYCRL
622,A0A0A0MQW0;A0A0A0MR39;Q9P2K5;A0A024R5Q6;Q9Y655;A0A087WUT0;H0YN19,MYEF2
623,C9JP00;A0A0A0MQX8;Q9NR56;B4E233;H7C4T5;Q86VM6,MBNL1
624,A0A0A0MRF6;Q99996;Q96KG3;A0A0A0MRE9,AKAP9
625,B7Z972;A0A384MDK7;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;P22061;C9J0F2;F6S8N6,PCMT1
626,A0A0A0MRM8;A0A1Y0BRN0;A0A1Y0BRN3;A0A0D9SGC1;E7EW20;Q9UM54,MYO6
627,A0A0A0MRM9;Q14978;B2RAU8;Q96J17,NOLC1
628,Q5TAL4;Q53G33;A0A0A0MRR7;P09234,SNRPC
629,A0A0A0MRT2;Q9BTA9;Q9NZE0,WAC
630,B6VEX5;B6VEX4;B6VEX3;A0A0A0MRT6;Q59G41;Q8IZP0;Q53RS4;B7Z836;E9PEZ7;E7EW77;E7EP65;A0A0C4DG21;F8WAL6;Q9NYB9,ABI1;ABI-2;ABI2
631,F8W6G5;F5HRF8;A0A0A0MRW7;Q7Z2E3;C9JZ40;C9J8U3,APTX
632,A0A0A0MS41;A0A1P0AYU5;B4DRS6;Q9BWM7,SFXN3
633,A0A0A0MS59;A0A0C4DFX4;Q6ZRS2;G1UI29,SRCAP
634,A0A0A0MS70;H0Y4G9;Q99836;A0A0A0MSI9;B4E3D6;B4DU08;A0A3F2YP85;A0A494C0J8,MYD88
635,I0CE67;Q6I9R8;Q2XQU9;J3KNW4;A0A0A0MSG2;Q14192;Q53T40;Q2TSB7,FHL2;AAG11
636,A0A0A0MSI0;A0A384NPQ2;Q06830;B2R4P2,PRDX1
637,B3KPJ4;B4DG61;B7ZLY0;A0A0A0MSI2;Q8IXK0;P78365,PHC2;HPH2
638,F8W9B8;B4E0U7;A0A0A0MSI8;O00471;B4DHG4,EXOC5
639,A0A0A0MSK4;A0A0A0MRC4;Q86YR5;A0A087WVF5,GPSM1
640,B2R7P6;A0A0A0MSW4;P48739;B3KYB6;B3KYB7,PITPNB
